ano_nacimiento,nombre,fecha_creacion,total_obras,autor_id
,Shel Silverstein,2008-04-01T03:28:50.625462,152,0
1966,Sarah Waters,2008-04-01T03:28:50.625462,36,1
1956,Michel Houellebecq,2008-04-01T03:28:50.625462,85,2
1971,Gillian Flynn,2008-04-01T03:28:50.625462,43,3
1976,Yuval N. Harari,2008-04-30T20:50:18.033121,52,4
,,,8,5
,,,,6
1833,Ariana Wormeley Curtis,2008-04-01T03:28:50.625462,8,7
,,,,8
,Aracelis Girmay,2008-04-01T03:28:50.625462,13,9
,,2022-10-19T23:08:27.106224,1,10
,James Schiffer,,9,11
1897,"Robins, Denise",2008-04-01T03:28:50.625462,268,12
,,,,13
,,,,14
,Michael Azerrad,2008-04-01T03:28:50.625462,7,15
,Tyehimba Jess,,6,16
,,,10,17
,,,,18
,,2020-08-04T23:53:30.938498,1,19
,,2016-10-14T16:50:54.019962,11,20
1952,David Byrne,2008-04-01T03:28:50.625462,35,21
,,,15,22
,,2020-05-17T22:46:50.000977,3,23
,,,,24
1953,Sebastian Faulks,2008-04-01T03:28:50.625462,57,25
,,,,26
1884,John Arthur Ransome Marriott,2008-08-30T21:15:59.634163,183,27
,,2020-08-03T08:56:36.321627,6,28
1974,Banksy.,2008-04-29T15:03:11.581851,20,29
,,,,30
1938,Gary D. Chapman,2008-04-01T03:28:50.625462,77,31
,,,,32
,,,73,33
,,,,34
,Kathleen Martin,,25,35
1917,"Brooks, Gwendolyn",2008-04-01T03:28:50.625462,88,36
1927,"Schwartz, Alvin",2008-04-01T03:28:50.625462,84,37
,Jane Donnelly,2008-04-01T03:28:50.625462,132,38
,,2020-08-20T17:41:35.528055,4,39
,,2020-08-24T14:02:35.596414,2,40
1975,Matt Haig,2008-04-01T03:28:50.625462,141,41
,,,,42
,,2020-08-04T22:51:31.144740,2,43
1957,Thomas W. Ward,2012-01-11T18:21:25.164403,1,44
,,2019-03-27T20:28:58.509150,7,45
1922,Charles M. Schulz,2008-04-29T15:03:11.581851,1739,46
,,,,47
,Nathanael Johnson,2012-08-08T07:30:12.506116,3,48
,,,,49
1975,Brandon Sanderson,2008-04-01T03:28:50.625462,198,50
1973,Natsuki Takaya,2008-04-01T03:28:50.625462,94,51
1961,Douglas Rushkoff,2008-04-01T03:28:50.625462,53,52
1975,Mariko Tamaki,2008-04-01T03:28:50.625462,93,53
,Varsha Bajaj,,14,54
,,2008-04-01T03:28:50.625462,223,55
,Brian Farrey,2012-01-11T16:17:30.129338,8,56
,,2010-03-12T05:05:06.756207,60,57
,Jackson Burnett,2022-06-20T03:45:12.567520,1,58
,,,,59
,,2008-04-30T20:50:18.033121,46,60
,Andrea Kane,2008-04-01T03:28:50.625462,134,61
,,,,62
,,2016-10-14T07:58:23.955751,1,63
1984,Marie Kondō,2015-01-31T18:01:59.592921,22,64
1941,Helene Segura,2019-07-19T17:01:25.142110,1,65
,Caroline Paul,,11,66
1908,Edward Deeds,2019-07-19T15:38:03.176386,1,67
1958,Richard Weikart,,5,68
,Dave Asprey,2019-05-23T21:34:34.949210,25,69
