nacionalidad,autor_id
American,0
Welsh,1
French,2
American,3
Israeli,4
,5
,6
,7
,8
American,9
,10
,11
,12
,13
,14
American,15
American,16
,17
,18
,19
,20
American,21
,22
,23
,24
British,25
,26
British,27
,28
Graffiti,29
,30
,31
,32
,33
,34
American,35
American,36
,37
British,38
,39
,40
English,41
,42
,43
Former,44
,45
American,46
,47
,48
,49
American,50
Japanese,51
American,52
Canadian,53
,54
,55
,56
,57
,58
,59
,60
American,61
,62
,63
Japanese,64
,65
American,66
American,67
,68
American,69
English,70
English,71
,72
Japanese,73
,74
American,75
American,76
,77
,78
American,79
,80
American,81
,82
,83
American,84
Pen,85
,86
,87
,88
American,89
,90
Adult,91
,92
,93
,94
,95
,96
,97
,98
,99
,100
,101
,102
,103
,104
,105
British,106
English,107
,108
,109
,110
,111
American,112
,113
,114
,115
,116
,117
American,118
,119
American,120
,121
,122
,123
,124
,125
American,126
,127
Canadian-American,128
,129
,130
,131
American,132
,133
American,134
,135
,136
American,137
American,138
American,139
,140
,141
,142
British-American,143
,144
,145
,146
,147
English,148
Canadian,149
,150
,151
,152
Afghan-American,153
,154
,155
,156
American,157
,158
,159
,160
American,161
Chinese,162
American,163
Politician,164
American,165
,166
,167
British-American,168
American,169
,170
,171
,172
,173
American,174
,175
English,176
,177
Vietnamese-American,178
,179
American,180
,181
American,182
,183
American,184
,185
,186
,187
,188
,189
,190
,191
American,192
American,193
Ancient,194
,195
American,196
,197
,198
British,199
,200
,201
American,202
,203
,204
,205
Canadian,206
British,207
British,208
,209
,210
,211
,212
,213
Indian,214
,215
,216
Israeli,217
Chinese-British,218
,219
,220
,221
,222
,223
British,224
,225
American,226
American,227
,228
,229
American,230
American,231
English,232
,233
American,234
,235
,236
,237
American,238
,239
American,240
American,241
American,242
,243
,244
,245
American,246
American,247
American,248
,249
American,250
American,251
American,252
,253
,254
American,255
,256
Austrian-British,257
UK,258
,259
English-American,260
Scottish,261
American,262
American,263
,264
British,265
Japanese,266
,267
American,268
American,269
,270
,271
American,272
,273
American,274
British,275
,276
American,277
,278
Japanese,279
American,280
,281
,282
American,283
,284
,285
,286
2015,287
American,288
,289
English,290
,291
,292
,293
American,294
,295
,296
Australian,297
,298
American,299
,300
American,301
,302
English,303
,304
,305
,306
,307
American,308
,309
,310
,311
American,312
,313
American,314
American,315
,316
,317
American,318
English,319
American,320
,321
,322
,323
,324
,325
American,326
,327
American,328
American,329
,330
American,331
British,332
,333
American,334
,335
American,336
American,337
American,338
American,339
American,340
,341
,342
American,343
British,344
American,345
American,346
,347
American,348
,349
American,350
,351
,352
Australian,353
American,354
,355
,356
,357
,358
,359
,360
British,361
,362
American,363
American,364
American,365
German-born,366
English,367
